"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"360","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:12:08,FALSE,NA,"1038958267160915968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bogdankovs",7361,TRUE,FALSE,NA,NA
"361","RT @PinkyDasi3: #Hari_Aaye_Haryane_Nu 
जय गुरुदेव के प्रसिद्ध संत तुलसीदास ने कौन से महापुरुष के बारे में अपनी भविष्यवाणी में बताया है 
अव…",FALSE,0,NA,2018-09-10 01:11:58,FALSE,NA,"1038958224605687808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MurlidharVaish9",186,TRUE,FALSE,NA,NA
"362","RT @NSaina: Throwback Asian Games 2018 .... good memories #Asiangames2018 #Jakarta #bronzemedal 🥉 https://t.co/7jvPqASXA2",FALSE,0,NA,2018-09-10 01:11:49,FALSE,NA,"1038958187037118464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MineBAN365",138,TRUE,FALSE,NA,NA
"363","RT @bishnoikuldeep: Was honoured to meet #AsianGames2018 Gold Medallist and pride of India #AmitPanghal and his family. I wish him best of…",FALSE,0,NA,2018-09-10 01:11:48,FALSE,NA,"1038958185401409536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gautamhjc",107,TRUE,FALSE,NA,NA
"364","RT @asiangames2018: Leeteuk, leader of the group, confessed to have been surprised and elated to be invited to perform at the Asian Games 2…",FALSE,0,NA,2018-09-10 01:11:42,FALSE,NA,"1038958157387554816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","009686line",3095,TRUE,FALSE,NA,NA
"365","RT @cheoleopseo: Terimakasih #AsianGames2018

Emas pertama: TAEKWONDO
Emas terakhir: SEPAK TAKRAW
Emas terbanyak: PENCAK SILAT
Ter-Viral: J…",FALSE,0,NA,2018-09-10 01:11:40,FALSE,NA,"1038958151624679425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fadhilaazhilah",6919,TRUE,FALSE,NA,NA
"366","RT @bishnoikuldeep: Was honoured to meet #AsianGames2018 Gold Medallist and pride of India #AmitPanghal and his family. I wish him best of…",FALSE,0,NA,2018-09-10 01:11:32,FALSE,NA,"1038958117055344640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jyanianil1",107,TRUE,FALSE,NA,NA
"367","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:10:17,FALSE,NA,"1038957800091570176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","B_19_ACM",7361,TRUE,FALSE,NA,NA
"368","RT @Ra_THORe: The biggest highlight of #AsianGames2018 is the emergence of young athletes. 

It wasn't just one of India's best evr medal h…",FALSE,0,NA,2018-09-10 01:10:13,FALSE,NA,"1038957783817699328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sourabh1972",481,TRUE,FALSE,NA,NA
"369","RT @AmitShah: Amazing Boxer!

Nation is very proud of Amit Panghal. Congratulations to him for winning the Gold🥇in Men’s 49 kg boxing event…",FALSE,0,NA,2018-09-10 01:09:57,FALSE,NA,"1038957716176220162",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","subhamp50578807",1094,TRUE,FALSE,NA,NA
